underlying,pair,kind,quality,window_days,session,n,days,blocks,expected,coverage,mean,median,abs_median,abs_p90,abs_p95,std,min,max,positive_share,day_abs_median_p25,day_abs_median_p75,eligible,evidence,above_10,above_30,above_50,above_100
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,7,overnight,0,0,0,480,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,7,weekend,0,0,0,576,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,all,0,0,0,8640,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,regular,0,0,0,1638,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,non_regular,0,0,0,7002,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,pre_market,0,0,0,1386,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,after_market,0,0,0,1008,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,overnight,0,0,0,2016,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,weekend,0,0,0,2304,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bitget|futures|NVDAUSDT::bitget|spot|RNVDAUSDT,spot_perp,reference,30,holiday,0,0,0,288,0.0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,all,2015,7,2,2016,0.9995039682539683,8.339869607843937,8.130815791851376,8.130815791851376,11.352286326345775,12.206258729928088,2.315946019718742,1.8682858477347963,14.513788098695635,1.0,7.1267945047825965,9.359601103768878,True,K线收盘代理；达到描述性样本门槛,0.2575682382133995,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,regular,390,5,2,390,1.0,6.82608732292797,6.596602905288851,6.596602905288851,9.262076943449495,10.08619521487175,1.7767226964569918,1.8682858477347963,12.163805919720438,1.0,6.371311296384796,7.54735276572438,True,K线收盘代理；达到描述性样本门槛,0.06153846153846154,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,non_regular,1625,7,2,1626,0.9993849938499385,8.703177356223769,8.583690987125081,8.583690987125081,11.739317745226964,12.240456977059555,2.2828253535965306,2.2993791676251263,14.513788098695635,1.0,6.987934577356025,9.451352406677493,True,K线收盘代理；达到描述性样本门槛,0.3046153846153846,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,pre_market,330,5,2,330,1.0,7.72989845794519,7.356322227841661,7.356322227841661,11.154290611424145,12.025416311064797,2.2419840037488687,2.2993791676251263,12.963790791238328,1.0,6.0868548182713145,8.357159358343136,True,K线收盘代理；达到描述性样本门槛,0.1787878787878788,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,after_market,240,5,2,240,1.0,7.230972534713452,7.480419033812913,7.480419033812913,9.494830050727597,9.895490291169317,1.7805826839221455,2.7905678805639766,14.424810674360522,1.0,6.0484846847519425,8.323658909213938,True,K线收盘代理；达到描述性样本门槛,0.041666666666666664,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,overnight,480,5,2,480,1.0,7.527921053344127,7.47499178804234,7.47499178804234,9.40295706719163,9.850915352469846,1.4209358680658164,2.804655728509964,11.749819233550785,1.0,6.819886793403285,7.987586238827893,True,K线收盘代理；达到描述性样本门槛,0.027083333333333334,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,weekend,575,2,1,576,0.9982638888888888,10.857323824009223,10.816657652785722,10.816657652785722,12.609204872864321,13.072838270735021,1.2618709458103416,7.613758509494861,14.513788098695635,1.0,10.605109686333547,11.09087420227195,False,样本不足 / 仅事件观察,0.7182608695652174,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,all,8603,30,5,8640,0.9957175925925926,4.5970312188680085,4.428697962799433,4.495594317568408,9.144590358096229,10.711177608077493,3.3528041120216554,-10.639326820776063,17.025584391681114,0.9149134023015227,2.8218190392911846,6.057342694636702,True,K线收盘代理；达到描述性样本门槛,0.06823201208880623,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,regular,1638,21,5,1638,1.0,4.001573577093304,4.2168392817454325,4.241081947127245,7.916228737582243,9.174216254602905,3.244263807695188,-8.094852626064908,17.025584391681114,0.8815628815628815,2.3848731290487812,5.562508739229699,True,K线收盘代理；达到描述性样本门槛,0.031135531135531136,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,non_regular,6965,30,5,7002,0.9947157954870037,4.73706849341603,4.536176003628878,4.561419513753329,9.459033376875148,10.81782781182916,3.3625430661381612,-10.639326820776063,16.646848989299023,0.92275664034458,3.1891874549042076,6.030114371479989,True,K线收盘代理；达到描述性样本门槛,0.0769562096195262,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,pre_market,1384,21,5,1386,0.9985569985569985,4.596172038782532,4.72984111397845,4.741522723181735,8.605849050078664,10.132188249680418,3.2620667538902066,-7.478382799719352,13.35113484646211,0.9140173410404624,2.36373091287323,5.993684729463933,True,K线收盘代理；达到描述性样本门槛,0.05130057803468208,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,after_market,1003,21,5,1008,0.9950396825396826,4.63565796453529,4.587997797760313,4.5936882723141,8.299989108236705,9.007304930871207,2.7754973428972063,-10.639326820776063,16.62146793806274,0.9501495513459621,3.198318880317519,5.467966827668036,True,K线收盘代理；达到描述性样本门槛,0.018943170488534396,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,overnight,2002,21,5,2016,0.9930555555555556,4.858126817653643,5.032827786611849,5.03363386818112,8.213664875744042,9.005256840342923,2.7005410760957047,-5.300119252683588,16.646848989299023,0.9530469530469531,3.2873109796183186,6.203613949082865,True,K线收盘代理；达到描述性样本门槛,0.014485514485514486,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,weekend,2293,8,4,2304,0.9952256944444444,4.592461000601903,3.4669555796318363,3.6464743151465306,11.260652580992847,11.802197099645362,4.176334720640711,-7.77427173366152,14.513788098695635,0.8800697775839511,2.3961694555453548,5.828479405983189,True,K线收盘代理；达到描述性样本门槛,0.18054949847361534,0.0,0.0,0.0
NVDA,binance|futures|NVDAUSDT::binance|spot|NVDABUSDT,spot_perp,reference,30,holiday,283,1,1,288,0.9826388888888888,6.100819976028163,6.030583674347945,6.030583674347945,8.605777921844915,9.415793959899545,1.936780777489899,0.8618832148243882,11.618400103274862,1.0,6.030583674347945,6.030583674347945,False,样本不足 / 仅事件观察,0.01060070671378092,0.0,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,all,1947,7,2,2016,0.9657738095238095,-10.051260218556141,-10.268315549801788,10.268315549801788,14.02080506558101,14.944424339792146,3.640557313873242,-40.465116279070344,6.775679826542813,0.01386748844375963,9.31156302837799,11.236902194990684,True,K线收盘代理；达到描述性样本门槛,0.5372367745249101,0.001027221366204417,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,regular,386,5,2,390,0.9897435897435898,-9.733364026895213,-9.745849659833494,9.745849659833494,13.840433829812039,16.35583141227831,4.357314966103861,-40.465116279070344,5.610885117126596,0.010362694300518135,8.778860520821109,10.02826146412561,True,K线收盘代理；达到描述性样本门槛,0.4792746113989637,0.0051813471502590676,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,non_regular,1561,7,2,1626,0.9600246002460024,-10.129868757941868,-10.341726618705582,10.341726618705582,14.02080506558101,14.911210519181761,3.4358350280248238,-22.810218978102093,6.775679826542813,0.014734144778987828,9.19145538631927,11.122373045943657,True,K线收盘代理；达到描述性样本门槛,0.5515695067264574,0.0,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,pre_market,327,5,2,330,0.990909090909091,-9.197491434600312,-9.234828496043068,9.234828496043068,12.923527776089973,14.494929953607905,3.440613914992284,-22.810218978102093,5.622188905547443,0.012232415902140673,8.394347824066672,10.096132742196673,True,K线收盘代理；达到描述性样本门槛,0.3944954128440367,0.0,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,after_market,219,5,2,240,0.9125,-9.641263403569457,-9.742067173873492,9.742067173873492,12.798479821984238,13.674780466412127,2.8215605181702523,-15.932265112891253,4.504504504503348,0.0091324200913242,8.565503561446253,9.676709918627902,True,K线收盘代理；达到描述性样本门槛,0.4931506849315068,0.0,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,overnight,474,5,2,480,0.9875,-9.029885335053885,-9.422744753608825,9.422744753608825,12.670617134929563,13.668234040299765,3.4858022282678647,-17.465723517596786,6.775679826542813,0.027426160337552744,9.104151493081192,9.871446964230813,True,K线收盘代理；达到描述性样本门槛,0.41983122362869196,0.0,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,weekend,541,2,1,576,0.9392361111111112,-11.854977999696304,-12.180267965894442,12.180267965894442,14.832127286620311,15.728216420257679,2.8947954872828388,-20.763744696216115,1.7928376137321678,0.0073937153419593345,12.150972781806713,12.173434509259728,False,样本不足 / 仅事件观察,0.7855822550831792,0.0,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,30,all,8310,30,5,8640,0.9618055555555556,-6.994754252151465,-7.044568653117311,7.110426413134419,14.146853465979436,16.357762473285742,6.034373548288327,-40.465116279070344,20.905613379591514,0.10962695547533093,3.3766023063004633,9.96300653837906,True,K线收盘代理；达到描述性样本门槛,0.3239470517448857,0.0006016847172081829,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,30,regular,1616,21,5,1638,0.9865689865689866,-6.25623278163046,-6.584620210132175,6.709925698886732,13.19561370531519,15.078823472644554,5.841609633491144,-40.465116279070344,13.843803704411961,0.13056930693069307,3.069407420110415,9.555012403517637,True,K线收盘代理；达到描述性样本门槛,0.28217821782178215,0.0012376237623762376,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,30,non_regular,6694,30,5,7002,0.9560125678377607,-7.173040881425733,-7.193275742459204,7.306603342770446,14.384414493007535,16.709523631131315,6.066536119916197,-33.868423494478606,20.905613379591514,0.10457125784284434,3.4035197368016687,10.04470920272546,True,K线收盘代理；达到描述性样本门槛,0.3340304750522856,0.00044816253361219,0.0,0.0
NVDA,bybit|futures|NVDAUSDT::bybit|spot|NVDAXUSDT,spot_perp,reference,30,pre_market,1356,21,5,1386,0.9783549783549783,-6.393934721919153,-6.509357204494415,6.92565882699725,13.542943193537994,15.394890544835338,5.806081897828451,-32.83456072048385,20.905613379591514,0.11651917404129794,3.9763242304613478,9.650519786686962,True,K线收盘代理；达到描述性样本门槛,0.27064896755162243,0.0007374631268436578,0.0,0.0
